150 0 0 0 0 0 0 0 0
116 34 0 0 0 0 0 0 0
28 99 23 0 0 0 0 0 0
35 90 25 0 0 0 0 0 0
32 35 83 0 0 0 0 0 0
35 47 67 0 0 0 0 0 0
42 40 68 0 0 0 0 0 0
45 29 76 0 0 0 0 0 0
30 18 103 0 0 0 0 0 0
25 24 101 0 0 0 0 0 0
23 31 96 0 0 0 0 0 0
47 44 39 20 0 0 0 0 0
11 95 22 22 0 0 0 0 0
16 76 17 30 10 0 0 0 0
7 46 13 18 67 0 0 0 0
32 20 43 25 30 0 0 0 0
22 6 94 7 19 2 0 0 0
12 3 102 11 21 1 0 0 0
30 10 77 3 21 8 0 0 0
30 6 34 13 34 34 0 0 0
25 3 44 14 12 53 0 0 0
24 8 27 13 52 26 0 0 0
32 9 19 9 34 34 8 6 0
12 10 19 13 19 20 47 11 0
7 12 23 10 3 24 36 17 17
6 10 23 13 21 33 23 11 9
18 9 25 14 18 34 10 11 11
